	"lang"
{
	"Language"		"Russian"
	"Tokens"
	{		
		"DOTA_GameMode_15"				"Жизнь на Арене"
		"addon_game_name"			"Жизнь на Арене"

		"DOTA_StatTooltip_StrengthBonus"	"- Каждое очко увеличивает здоровье на 8\n- Каждое очко увеличивает реген здоровья на 0,05\n"
		"DOTA_StatTooltip_AgilityBonus"	"- Каждые 6 очков увеличивают броню на 1\n- Каждое очко увеличивает скорость атаки на 1\n"
		"DOTA_StatTooltip_IntelligenceBonus"	"- Каждое очко увеличивает ману на 12\n- Каждое очко увеличивает реген маны на 0,05\n"
		"DOTA_StatTooltip_PrimaryBonus"	"- Каждое очко увеличивает урон на 1.5\n"
		
		"TimerWave"  "Волна №%quest_current_value% начнется через %quest_target_value% секунд."
		"TimerFinal"	"Финальная схватка начнется через %quest_target_value% секунд."
		"TimerMegaboss"	"Мегабосс начнется через %quest_target_value% секунд."
		"TimerDuel"	"Дуэль закончится ничьей через %quest_target_value% секунд."
		"TimerPreDuel"	"Дуэли начнутся через %quest_target_value% секунд."

		"lia_wave_num"	"Волна №"
		"dota_hud_error_tutorial_shop_not_in_range" "Лавку нельзя использовать во время боя"
		"lia_hud_error_cant_have_two_items_retdmg" "Нельзя носить более одного артефакта, возвращающего урон"
		"lia_hud_error_cant_force_round"	"Вы не можете начать новый раунд прямо сейчас"
		"lia_hud_error_item_lia_staff_of_illusions_megaboss"	"Нельзя использовать способность на мегабоссах"
		"error_cant_target_allied_creeps" "Нельзя применять союзных юнитов, не являющихся героями"
		"lia_hud_error_keeper_of_the_grove_natures_curse_no_targets" "В выбранной области нет противников"
		"lia_hud_error_cant_trade_on_duels" "Нельзя обменивать ресурсы во время дуэлей"

		"DOTA_Chat_PlayerDenied"	"Вы получили %s2 золота от игрока %s1"
		"DOTA_Chat_TowerPlayerKilled"	"Вы получили %s2 дерева от игрока %s1"

		"DOTA_Hero_Selection_TT_Random_Text"	"Герой для вас будет выбран случайным образом. На старте вы получите 50 дополнительного золота."


		

		"DOTA_Chat_PlayerKilled"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"

		"DOTA_Chat_KillStreak_3_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"
		"DOTA_Chat_KillStreak_4_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"
		"DOTA_Chat_KillStreak_5_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"
		"DOTA_Chat_KillStreak_6_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"
		"DOTA_Chat_KillStreak_7_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"
		"DOTA_Chat_KillStreak_8_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"
		"DOTA_Chat_KillStreak_9_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"
		"DOTA_Chat_KillStreak_10_Ended"	"%s1 получает <font color='#FFD700'>200 золота</font> и <font color='#228B22'>8 дерева</font> за голову %s2!"

		"DOTA_Chat_PlayerKilledGeneric"	"Монстры убивают %s1!"



		
		"lia_duel_expiretime"    "Время истекло. Никто не получит награды"
		"lia_duel_winner"        " победил в дуэли!"
		"lia_Player"             "Игрок "
		"lia_duel_next"          "Следующая дуэль"
		"lia_duel_vs"            " против игрока "
		"lia_duel"               "Дуэли"
		"lia_expire_duel"        "Ничья"

		"lia_finalboss"          "Финальный Босс"
		"lia_megaboss"           "Мегабосс"
		
		"1_wave_creep"	"Кобольд"
		"1_wave_boss"	"Босс"
		"2_wave_creep"	"Кентавр-Воин"
		"2_wave_boss"	"Босс"		
		"3_wave_creep"	"Огромный Волк"
		"3_wave_boss"	"Босс"	
		"4_wave_creep"	"Темный тролль"
		"4_wave_boss"	"Босс"
		"5_wave_megaboss"	"Мегабосс"	
		"6_wave_creep"	"Головорез"
		"6_wave_boss"	"Босс"
		"7_wave_creep"	"Чумной Энт"
		"7_wave_boss"	"Босс"		
		"8_wave_creep"	"Властитель"
		"8_wave_boss"	"Босс"	
		"9_wave_creep"	"Дух Воды"
		"9_wave_boss"	"Босс"
		"10_wave_megaboss"	"Мегабосс"	
		"11_wave_creep"	"Опустошитель"
		"11_wave_boss"	"Босс"
		"12_wave_creep"	"Адский Медведь"
		"12_wave_boss"	"Босс"		
		"13_wave_creep"	"Каменный Голем"
		"13_wave_boss"	"Босс"	
		"14_wave_creep"	"Громовая Ящерица"
		"14_wave_boss"	"Босс"
		"15_wave_megaboss"	"Мегабосс"	
		"16_wave_creep"	"Призрак"
		"16_wave_boss"	"Босс"
		"17_wave_creep"	"Хвататель"
		"17_wave_boss"	"Босс"		
		"18_wave_creep"	"Хранитель Пустоты"
		"18_wave_boss"	"Босс"	
		"19_wave_creep"	"Адский Сатир"
		"19_wave_boss"	"Босс"
		"1_wave_creep_extreme"	"Кобольд"
		"1_wave_boss_extreme"	"Босс"
		"2_wave_creep_extreme"	"Кентавр-Воин"
		"2_wave_boss_extreme"	"Босс"		
		"3_wave_creep_extreme"	"Огромный Волк"
		"3_wave_boss_extreme"	"Босс"	
		"4_wave_creep_extreme"	"Темный тролль"
		"4_wave_boss_extreme"	"Босс"	
		"6_wave_creep_extreme"	"Головорез"
		"6_wave_boss_extreme"	"Босс"
		"7_wave_creep_extreme"	"Чумной Энт"
		"7_wave_boss_extreme"	"Босс"		
		"8_wave_creep_extreme"	"Властитель"
		"8_wave_boss_extreme"	"Босс"	
		"9_wave_creep_extreme"	"Дух Воды"
		"9_wave_boss_extreme"	"Босс"
		"11_wave_creep_extreme"	"Опустошитель"
		"11_wave_boss_extreme"	"Босс"
		"12_wave_creep_extreme"	"Адский Медведь"
		"12_wave_boss_extreme"	"Босс"		
		"13_wave_creep_extreme"	"Каменный Голем"
		"13_wave_boss_extreme"	"Босс"	
		"14_wave_creep_extreme"	"Громовая Ящерица"
		"14_wave_boss_extreme"	"Босс"	
		"16_wave_creep_extreme"	"Призрак"
		"16_wave_boss_extreme"	"Босс"
		"17_wave_creep_extreme"	"Хвататель"
		"17_wave_boss_extreme"	"Босс"		
		"18_wave_creep_extreme"	"Хранитель Пустоты"
		"18_wave_boss_extreme"	"Босс"	
		"19_wave_creep_extreme"	"Адский Сатир"
		"19_wave_boss_extreme"	"Босс"

		"1_wave_creeps"		"Арахниды"
		"2_wave_creeps"		"Кентавры"
		"3_wave_creeps"		"Огромные Волки"
		"4_wave_creeps"		"Темные тролли"
		"6_wave_creeps"		"Головорезы"
		"7_wave_creeps"		"Чумные энты"
		"8_wave_creeps"		"Властители"
		"9_wave_creeps"		"Духи воды"
		"11_wave_creeps"	"Опустошители"
		"12_wave_creeps"	"Адские медведи"		
		"13_wave_creeps"	"Каменные големы"	
		"14_wave_creeps"	"Громовые ящерицы"
		"16_wave_creeps"	"Призраки"
		"17_wave_creeps"	"Хвататели"		
		"18_wave_creeps"	"Хранители Пустоты"	
		"19_wave_creeps"	"Адские сатиры"

		"1_bm"	"Кобольд"
		"2_bm"	"Кентавр-Воин"	
		"3_bm"	"Огромный Волк"
		"4_bm"	"Темный Тролль"
		"6_bm"	"Головорез"
		"7_bm"	"Чумной Энт"		
		"8_bm"	"Властитель"		
		"9_bm"	"Дух Воды"		
		"11_bm"	"Опустошитель"
		"12_bm"	"Адский Медведь"		
		"13_bm"	"Каменный Голем"	
		"14_bm"	"Громовая Ящерица"
		"16_bm"	"Призрак"
		"17_bm"	"Хвататель"		
		"18_bm"	"Морской Дракон"		
		"19_bm"	"Адский Сатир"

		"white_wolf_bm"	"Белый Волк"
		"jungle_stalker_bm" "Повелитель Джунглей"
		"phoenix_bm" "Феникс"
		"phoenix_egg_bm" "Яйцо Феникса"
		"bear_bm"	"Медведь"

		"book_of_the_dead_skeleton_melee"	"Скелет-Воин"
		"book_of_the_dead_skeleton_melee_ranged"	"Скелет-Лучник"
		"npc_doom_guard_spawn"	"Привратник Ада"
		"npc_lia_troll_defender"	"Тролль-Защитник"
		"npc_lia_troll_healer"	"Тролль-Лекарь"
		"hell_beast"	"Адская Тварь"
		"spherical_staff_fire_golem"	"Огненный Голем"
		"npc_lia_boar" 	"Кабан"

		"android_clockwerk_goblin1"	"Заводной Гоблин"
		"android_clockwerk_goblin2"	"Заводной Гоблин"
		"android_clockwerk_goblin3"	"Заводной Гоблин"
