"npc_lia_hero_brewmaster"
{
"override_hero"				"npc_dota_hero_brewmaster"

"Ability1" "brewer_beer_for_a_breakthrough_datadriven" 	
"Ability2" "brewer_bear_style_datadriven" 		
"Ability3" "brewer_drunken_punches_datadriven" 	
"Ability4" "brewer_power_of_the_mountains_datadriven" 					
"Ability5" "" 					
"Ability6" ""  	
"Ability7" "" 					
"Ability8" "" 					

"ArmorPhysical" "4" 		
"MagicalResistance" "25"	

"AttackCapabilities" "DOTA_UNIT_CAP_MELEE_ATTACK"
"AttackDamageMin" "13" 
"AttackDamageMax" "27" 
"AttackRate" "1.8" 
"AttackAnimationPoint" "0.3" 
"AttackAcquisitionRange" "800" 
"AttackRange" "110" 

"AttributePrimary"			"DOTA_ATTRIBUTE_STRENGTH"
"AttributeBaseStrength"		"23"										
"AttributeStrengthGain"		"2.8"										
"AttributeBaseIntelligence"	"10"										
"AttributeIntelligenceGain"	"2.0"									
"AttributeBaseAgility"		"7"									
"AttributeAgilityGain"		"2.0"	

"BountyXP" "100" 
"BountyGoldMin" "50" 
"BountyGoldMax" "50" 

"MovementCapabilities" "DOTA_UNIT_CAP_MOVE_GROUND" 
"MovementSpeed" "245" 
"MovementTurnRate" "0.5" 

"StatusHealth" "450" 
"StatusHealthRegen" "1.2" 
"StatusMana" "75" 
"StatusManaRegen" "0.05" 

"TeamName" "DOTA_TEAM_GOODGUYS"
"CombatClassAttack" "DOTA_COMBAT_CLASS_ATTACK_HERO"
"CombatClassDefend" "DOTA_COMBAT_CLASS_DEFEND_HERO"
"UnitRelationshipClass" "DOTA_NPC_UNIT_RELATIONSHIP_TYPE_HERO"

"VisionDaytimeRange" "1400" 
"VisionNighttimeRange" "1400" 

"HasInventory" "1" 
}	
